Daucus carota;MEDPLR
Delichon urbica;PC
Delta unguiculatus;POL_2
Demetrias atricapillus;RM
Dictamnus albus;MED
Digitalis lanata;MED
Digitalis purpurea;MED
Dioscorea communis;MED
Diplotaxis tenuifolia;MED
Dipsacus fullonum;MED
Dipsacus fullonum;MEDPLR
Drosera rotundifolia;MED
Dryas octopetala;MED
Dryas octopetala;MEDPLR
Dryopteris filix-mas;MED
Echinacea purpurea;MED
Echium vulgare;MED
Echium vulgare;MEDPLR
Elanus caeruleus;PC
Elaphe longissima;PC
Elaphe scalaris;PC
Elaphe situla;PC
Elymus repens;MED
Emberiza citrinella;PC
Emberiza hortulana;PC
Ephedra distachya;MED
Epilobium anagallidifolium;MED
Epilobium angustifolium;MED
Epilobium angustifolium;MEDPLR
Epilobium fleischeri;MED
Epilobium fleischeri;MEDPLR
Epilobium hirsutum;MED
Epilobium montanum;MED
Epilobium palustre;MED
Epilobium parviflorum;MED
Epilobium parviflorum;MEDPLR
Epilobium roseum;MED
Epilobium roseum;MEDPLR
Epistrophe flava;POL_2
Episyrphus balteatus;POL_2
Equisetum arvense;MED
Eremophila alpestris;PC
Erica carnea;MED
Erica carnea;MEDPLR
Erica cinerea;MED
Erinaceus concolor;PC
Erinaceus europaeus;PC
Eristalinus aeneus;POL_2
Eristalinus sepulchralis;POL_2
Eristalinus taeniops;POL_2
Eristalis abusiva;POL_2
Eristalis arbustorum;POL_2
Eristalis intricaria;POL_2
Eristalis pertinax;POL_2
Eristalis similis;POL_2
Eristalis spec ;POL_2
Eristalis tenax;POL_2
Erodium cicutarium;MED
Erophila verna;MED
Eruca sativa;MED
Eryngium alpinum;MED
Eryngium campestre;MED
Erysimum cheiri;MED
Eucera clypeata;POL_2
Eucera longicornis;POL_2
Euonymus europaeus;MED
Euonymus europaeus;MEDPLR
Eupatorium cannabinum;MED
Eupatorium cannabinum;MEDPLR
Eupeodes corollae;POL_2
Eupeodes lapponicus;POL_2
Eupeodes latifasciatus;POL_2
Eupeodes luniger;POL_2
Eupeodes nitens;POL_2
Eupeodus corollae;POL_2
Euphorbia esula;MED
Euphorbia peplus;MED
Euphorbia peplus;MEDPLR
Euphrasia rostkoviana;MED
Euphrasia rostkoviana;MEDPLR
Fagopyrum esculentum;MED
Fagus sylvatica;MED
Fagus sylvatica;MEDPLR
Falco naumanni;PC
Falco subbuteo;PC
Falco tinnunculus;PC
Falco vespertinus;PC
Ficus carica;MED
Ficus carica;MEDPLR
Filipendula ulmaria;MED
Filipendula ulmaria;MEDPLR
Foeniculum vulgare;MED
Fragaria vesca;MED
Fragaria vesca;MEDPLR
Frangula alnus;MED
Frangula alnus;MEDPLR
Fraxinus excelsior;MED
Fraxinus ornus;MED
Fraxinus ornus;MEDPLR
Fumaria officinalis;MED
Galega officinalis;MED
Galeopsis ladanum;MED
Galeopsis tetrahit;MED
Galerida cristata;PC
